Country,Sex Ratio,GDP per Capita,Unique Top Artists
Peru,"[0.8301886792452831, 0.16981132075471697, 0.0, 0.0]",15894,"{'Jung Kook', 'Plan B', 'Latto', 'Grupo 5', 'Myke Towers', 'Danny Ocean', 'Ozuna', 'Anuel AA', 'Haze', 'Yng Lvcas', 'Bad Bunny', 'Feid', 'Manuel Turizo', 'Duki', 'Carin Leon', 'LIT killah', 'Maria Becerra', 'Wolfine', 'Chencho Corleone', 'Jimin', 'Shakira', 'Yandar & Yostin', 'Mora', 'Andy Rivera', 'Darell', 'Bacilos', 'Rusherking', 'Emilia', 'Grupo Frontera', 'Brray', 'Eddy Herrera', 'iñigo quintero', 'Mawell', 'Tiago PZK', 'Quevedo', 'FMK', 'Ryan Castro', 'Milo j', 'Bizarrap', 'Ke Personajes', 'Ñejo', 'Piso 21', 'Tokischa', 'Peso Pluma', 'Jhayco', 'Jack Harlow', 'Big One', 'Bad Gyal', 'Yahritza Y Su Esencia', 'Maluma', 'Young Miko', 'Taiu', 'KAROL G'}"
Philippines,"[0.64, 0.26, 0.04, 0.06]",11326,"{'Jung Kook', 'Janine', 'Eros Tongco', 'Nateman', 'Latto', 'HELLMERRY', 'SZA', 'Cup of Joe', 'Jed Baruelo', 'Dilaw', 'rhodessa', 'YP', 'Teys', 'Adie', 'Madman Stan', 'CK YG', 'Maki', 'NOBITA', 'wave to earth', 'Cean Jr.', 'Tate McRae', 'Tyla', 'Sugarcane', 'Sabrina Carpenter', 'Zack Tabudlo', 'Arthur Miguel', 'SunKissed Lola', 'Realest Cram', 'Janine Berdin', 'Mitski', 'TONEEJAY', 'Al James', 'gins&melodies', 'Hev Abi', 'Orange & Lemons', 'Jack Harlow', 'slimedemidemislime', 'Lola Amour', 'Calein', 'juan karlos', 'DEMI', 'SwKeith', 'Doja Cat', 'Daniel Caesar', 'Up Dharma Down', 'Billie Eilish', 'E.J', 'Taylor Swift', 'Arthur Nery', 'Jthekidd'}"
Poland,"[0.7466666666666667, 0.18666666666666668, 0.04, 0.02666666666666667]",45538,"{'bvdy47', 'WERSOW', 'The Neighbourhood', 'Guzowianki', 'Mario Dracula', 'BeMelo', 'charlie moncler', 'Jonatan', 'Adash', 'RAYE', 'Sir Mich', 'BAHsick', 'Chivas', 'sanah', 'Męskie Granie Orkiestra 2023', 'Cyrko', '@atutowy', 'Brodka', 'Doda', 'L.U.C.', 'White Widow', 'Kenya Grace', 'Bletka', 'Mata', 'Kwiat Jabłoni', 'Favst', 'Vito Bambino', 'Daria Zawiałow', 'Kukon', 'Lord Huron', 'Yeat', 'Fukaj', 'Mrozu', 'iñigo quintero', 'Kronkel Dom', 'bambi', 'Tate McRae', 'Rebel Babel Film Orchestra', 'D-Block Europe', 'Igo', 'Drake', 'Tom Odell', 'David Kushner', 'Zeamsone', 'Kleks', 'Smolasty', 'DNSQ', '4Money', 'FRIZ', 'SUICIDAL-IDOL', 'D3W', 'ReTo', 'PG$', 'Mitski', 'Żabson', 'Arctic Monkeys', 'Majki', 'Kizo', 'WIKTOR', 'Kalwi & Remi', 'Wroobel', 'Gibbs', 'Filip Leon', 'Dawid Podsiadło', 'Guzior', 'schafter', 'Blacha 2115', 'Oki', 'Taco Hemingway', 'Eddie Block', 'Doja Cat', 'The Kolors', 'Young Leosia', 'cassö', 'PRO8L3M'}"
Portugal,"[0.84, 0.13333333333333333, 0.013333333333333334, 0.013333333333333334]",45227,"{'Mc Menor Thalis', 'Jung Kook', 'Slow J', 'Matheus Fernandes', 'Mariza', 'MC GP', 'Pedro Lotto', 'Latto', 'Calema', 'Matuê', 'Myke Towers', 'Van Zee', 'MC Ryan SP', 'DJ Matt D', 'Vulgo FK', 'WIU', 'Juliette', 'Marshmello', 'Bad Bunny', 'Dj GBR', 'Kenya Grace', 'Manuel Turizo', 'Tz da Coronel', 'Mc Daniel', 'MUN', 'Bárbara Tinoco', 'MC Kevin o Chris', 'Fepache', 'Kappa Jotta', 'Mc Luki', 'Ivandro', 'AgroPlay', 'DENNIS', 'iñigo quintero', 'Mc IG', 'Tate McRae', 'Julinho Ksd', 'Tyla', 'Dj Ramon Sucesso', 'GBoss', 'MC GH do 7', 'Dillaz', 'Luan Pereira', 'Mc Livinho', 'SMU', 'D.A.M.A', 'Dj Nk Da Serra', 'TrapLaudo', 'Los Romeros', 'Prod Malax', 'Grupo Menos É Mais', 'Mc Don Juan', 'MC Torugo', 'Nuno Ribeiro', 'Triz', 'Supernova Ent', 'Wet Bed Gang', 'Pedro Mafama', 'MC PH', 'Mc Kadu', 'Bvga Beatz', 'Ana Castela', 'Bispo', 'Nagalli', 'Rich The Kid', 'Plutonio', 'Tropa do Bruxo', 'DJ Ws da Igrejinha', 'Veigh', 'Doja Cat', 'LON3R JOHNY', 'Toledo', 'Taylor Swift', 'Bárbara Bandeira', 'Mc Davi'}"
Romania,"[0.765625, 0.203125, 0.03125, 0.0]",41029,"{'Andia', 'Jung Kook', 'AlbertNbn', 'RUL', 'Tzanca Uraganu', 'Deliric', 'Latto', 'Satra B.E.N.Z.', 'Lele', 'Puya', 'Gheboasă', 'BROKN', 'Iuly Neamtu', 'Ravisval', 'Kenya Grace', 'Bvcovia', 'Gunna', 'Manele VTM', 'Alex Botea', 'Snoop Dogg', 'Alduts Sherdley', 'Pitariu George', 'George Talent', '4 226', 'Yeat', 'Stefan Costea', 'Ian', 'Giovanni', 'Oscar', 'M.G.L.', 'rares', 'IRAIDA', 'iñigo quintero', 'Alex Bittman', 'Vescan', 'Tate McRae', 'Nicole Cherry', 'Iustin', 'andrei', 'Bogdan DLP', 'Drake', 'Aerozen', 'Ministerul Manelelor', 'DZWS', 'Andrei G', 'EXPOSURE', 'Mitski', '911', 'RAVA', 'Alex Velea', 'Nutu', 'Costel Biju', 'Tata Vlad', 'Manele Mentolate', 'Eva Timush', 'BITTNER', 'IDK', 'BEN', 'YNY Sebi', 'Mgk666', 'Jador', 'Doja Cat', 'Holy Molly', 'Dani Mocanu'}"
Saudi Arabia,"[0.48936170212765956, 0.40425531914893614, 0.10638297872340426, 0.0]",68453,"{'Adele', 'JENNIE', 'Jung Kook', 'The Neighbourhood', 'yatashigang', 'Lily-Rose Depp', 'Latto', 'girl in red', 'SZA', 'Tory Lanez', 'Amy Macdonald', 'Kenya Grace', 'Gunna', 'Gala', 'Majid Almohandis', 'INTERWORLD', 'Jimin', 'Dj Brunin XM', 'Mc Gw', 'ابو سراج', 'Speed Radio', 'Lana Del Rey', 'Daft Punk', 'V', 'Tate McRae', 'Molella', 'The Weeknd', 'Tom Odell', 'David Kushner', 'Major Lazer', 'SUICIDAL-IDOL', 'KZA Produções', 'Rihanna', 'Mitski', 'Cigarettes After Sex', 'Bibi Babydoll', 'Mc Menor Do Alvorada', 'Arctic Monkeys', 'DJ Snake', 'ZWE1HVNDXR', 'Jack Harlow', 'S3BZS', 'TalkinToys', 'LE SSERAFIM', 'Doja Cat', 'Sherine', 'Taylor Swift'}"
Singapore,"[0.36363636363636365, 0.6060606060606061, 0.0, 0.030303030303030304]",133108,"{'JENNIE', 'Olivia Rodrigo', 'Sabrina Carpenter', 'Jung Kook', 'The Weeknd', 'FIFTY FIFTY', 'Central Cee', 'Lily-Rose Depp', 'Dua Lipa', 'Major Lazer', 'Latto', 'The Kid LAROI', 'IVE', 'Mitski', 'SZA', 'SEVENTEEN', 'DJ Snake', 'NewJeans', 'Jack Harlow', 'Kenya Grace', 'Justin Bieber', 'League of Legends', '承桓', 'LE SSERAFIM', 'Doja Cat', '(G)I-DLE', 'Eric Chou', 'Billie Eilish', '卢卢快闭嘴', 'Taylor Swift', 'V', 'Tate McRae', 'Tyla'}"
Slovakia,"[0.7083333333333334, 0.22916666666666666, 0.0625, 0.0]",42228,"{'Jung Kook', 'The Neighbourhood', 'Wham!', 'Latto', 'SIMILIVINLIFE', 'RAYE', 'BENNETT', 'Peter Pann', 'Tiësto', 'Bwayne', 'Sima', 'Kenya Grace', 'Gunna', 'Taylor Swift', 'Separ', 'Yeat', 'Hard Rico', 'Lord Huron', 'Kali', 'Samey', 'David Guetta', 'iñigo quintero', 'V', 'Tate McRae', 'D-Block Europe', 'P T K', 'Drake', 'Tom Odell', 'Gleb', 'David Kushner', 'Dua Lipa', 'Pil C', 'Luca Brassi10x', 'SUICIDAL-IDOL', 'Bebe Rexha', 'Mitski', 'LUJA', 'Viktor Sheen', 'Dollar Prync', 'Arctic Monkeys', 'Matej Straka', 'STEIN27', 'Facefront', 'Porsche Boy', 'Calin', 'Doja Cat', 'cassö', 'Jerry Lee'}"
South Africa,"[0.7572815533980582, 0.17475728155339806, 0.038834951456310676, 0.02912621359223301]",16211,"{'SjavasDaDeejay', 'Dj Jaivane', 'Eemoh', 'Zaba', 'Tyler ICU', 'Keynote', 'Philharmonic', 'Ceeka RSA', 'Dave', 'Sbuda Maleather', 'Njelic', 'Brenden Praise', 'Harry Cane', 'Umthakathi Kush', 'Kenya Grace', 'T-Man SA', 'Mariah Carey', 'Khalil Harrison', 'Yeat', ""Ch'cco"", 'Drumonade', 'MÖRDA', 'Spirit Of Praise', 'Bassie', 'Tate McRae', 'Tyla', 'Drake', 'De Mthuda', 'DJ Latimmy', 'Central Cee', 'KingTalkzin', 'Mo-T', 'Nomfundo Moh', 'DJ Maphorisa', 'Skandisoul', 'Kabza De Small', 'LeeMcKrazy', 'Lwah Ndlunkulu', 'Sam Deep', 'Glenn Jones', 'Fantasia', 'Daliwonga', 'DJ Nomza The King', 'DJ Tshegu', 'Master KG', 'DJ Kent', 'AMAQHAWE', 'Sobzeen', 'Felo Le Tee', 'Miguel', 'Sizwe Nineteen', 'Ice Beats Slide', 'Naledi', 'Doja Cat', 'Zee_nhle', 'Siya Ntuli', 'Xolani Guitar', 'Killorbeezbeatz', 'Tman Xpress', 'Tyrondee', 'Mellow & Sleazy', 'SZA', 'R-Bee', 'Mthunzi', 'Megadrumz', 'Thakzin', 'De’vine 07', 'Gunna', 'Sizwe Alakine', 'Tebza De DJ', 'Kamo Mphela', 'Pushkin RSA', 'Mas Musiq', 'Young Stunna', 'Da Muziqal Chef', 'Mthandeni SK', 'Lady Du', 'Nonny', 'QuayR Musiq', 'Omit ST', 'Uncle Waffles', 'Tumi Sdomane', 'Baby S.O.N', 'Maverick Muji', 'J. Cole', 'Ayanda Ntanzi', 'Nkosazana Daughter', 'Jimmy Maradona', 'Mpumi Mtsweni', 'Dlala Thukzin', 'Deep Sen', 'Sims Noreng', 'Tumelo_za', 'Nandipha808', 'DJ Stokie', 'Focalistic', 'Aymos', 'MaWhoo', 'Sykes', 'Oscar Mbo, KG Smallz, Mörda, Thakzin, & Mhaw Keys', 'Dearson', 'TitoM', 'Fezeka Dlamini'}"
South Korea,"[0.625, 0.25, 0.0, 0.125]",56709,"{'JENNIE', 'Jung Kook', 'NLE Choppa', 'Central Cee', 'TAEYANG', 'BTS', 'Major Lazer', 'Latto', 'The Kid LAROI', 'AKMU', 'IVE', 'JVKE', 'DJ Snake', 'NewJeans', 'Jack Harlow', 'League of Legends', 'RIIZE', 'Jimin', 'Muni Long', 'LE SSERAFIM', 'Fast & Furious: The Fast Saga', 'V', 'Kodak Black', 'Lim Young Woong'}"
Spain,"[0.85, 0.15, 0.0, 0.0]",50472,"{'Pedro Calderon', 'Sky Rompiendo', 'Eladio Carrion', 'Mambo Kingz', 'JC Reyes', 'Kiko Rivera', 'Rauw Alejandro', 'Myke Towers', 'SativaMusic', 'Sebastian Yatra', 'Anuel AA', 'Marshmello', 'céro', 'Bad Bunny', 'Feid', 'Manuel Turizo', 'Duki', 'LIT killah', 'Maria Becerra', 'Morad', 'Chencho Corleone', 'DJ Luian', 'Rusherking', 'Mora', 'Darell', 'Emilia', 'Brray', 'iñigo quintero', 'Tiago PZK', 'Brytiago', 'YOVNGCHIMI', 'Saiko', 'Omar Montes', 'Quevedo', 'FMK', 'Bryant Myers', 'Ryan Castro', 'Milo j', 'Ana Mena', 'TINI', 'Bizarrap', 'GARABATTO', 'Dei V', 'Peso Pluma', 'Jhayco', 'DELLAFUENTE', 'Soge Culebra', 'Beéle', 'Big One', 'Rels B', 'Beny Jr', 'LUDMILLA', 'Maluma', 'GIMS', 'Young Miko', 'Rvfv', 'Zecca', 'KAROL G', 'Lola Indigo', 'Tunvao'}"
Sweden,"[0.5576923076923077, 0.36538461538461536, 0.057692307692307696, 0.019230769230769232]",66209,"{'C.Gambino', 'Dizzy', 'Kayen', 'Wham!', '25', 'HAVAL', 'Darin', 'RAYE', 'Shiro', 'Peg Parnevik', 'Veronica Maggio', 'Hanna Ferm', 'Zara Larsson', 'Humlan Djojj', 'Yasin', 'Le Winter', 'Kenya Grace', 'Pablo Paz', 'Mariah Carey', 'ADAAM', 'Mapei', 'takenoelz', 'Thomas Stenström', 'Lord Huron', 'iñigo quintero', 'David Guetta', 'Tate McRae', 'Ellen Krauss', 'Tyla', 'D-Block Europe', 'Molly Sandén', 'Tom Odell', 'Bolaget', 'Asme', 'Babblarna', 'Einár', 'B.Baby', 'Hooja', 'Josefine Götestam', 'Albin Lee Meldau', 'Ant Wan', 'VC Barre', 'Kacey Musgraves', 'Doja Cat', 'Billie Eilish', 'cassö', 'Owen', 'Taylor Swift', 'Zach Bryan', 'Sara Kurt', 'Hov1', 'The Beatles'}"
Switzerland,"[0.7272727272727273, 0.25757575757575757, 0.015151515151515152, 0.0]",89537,"{'The Neighbourhood', 'Wham!', 'Peggy Gou', 'RAYE', 'BENNETT', 'SativaMusic', 'Khalid', 'Gustav', 'Sia', 'Azet', 'Lewis Capaldi', 'Dave', 'Macklemore', 'Vance Joy', 'Loreen', 'Pashanim', 'Bad Bunny', 'Kenya Grace', 'Joker Bra', 'Gunna', 'Amaru', 'Morad', 'Harry Styles', 'Taylor Swift', 'OneRepublic', 'Mariah Carey', 'Miley Cyrus', 'a-ha', 'Lord Huron', 'Ryan Lewis', 'Capital Bra', 'RAF Camora', 'David Guetta', 'iñigo quintero', 'Udo Lindenberg', 'Tate McRae', 'AYLIVA', 'Tyla', 'D-Block Europe', 'Ski Aggu', 'Eminem', 'Gzuz', 'Tom Odell', 'David Kushner', 'Central Cee', 'Bebe Rexha', 'Macklemore & Ryan Lewis', 'Gringo Bamba', 'Mitski', 'Luciano', '01099', 'Zachi', 'Gazo', 'reezy', 'Apache 207', 'Trettmann', 'Ray Dalton', 'Soolking', 'Jazeek', 'GIMS', 'Doja Cat', 'Billie Eilish', 'cassö', 'The Kolors', 'Dua Lipa', 'The Beatles'}"
Taiwan,"[0.4864864864864865, 0.43243243243243246, 0.02702702702702703, 0.05405405405405406]",72485,"{'JENNIE', 'Jung Kook', 'King Gnu', 'Ronghao Li', '颜人中', 'Latto', 'IVE', '告五人', 'A-Lin', 'NewJeans', 'elijah woods', 'Taylor Swift', '政学Zed-X', '(G)I-DLE', '卢卢快闭嘴', 'Fish Leong', 'V', 'Tate McRae', '蕭秉治', 'Shi Shi', 'Central Cee', '理想混蛋', 'The Kid LAROI', 'Jay Chou', 'Mixer', 'SEVENTEEN', 'YOASOBI', 'Jack Harlow', '承桓', 'WeiBird', '詹雯婷', '小阿七', 'LE SSERAFIM', 'Doja Cat', 'Eric Chou', '高爾宣 OSN', '陳華'}"
Thailand,"[0.7647058823529411, 0.23529411764705882, 0.0, 0.0]",22491,"{'JENNIE', 'Jung Kook', 'MEYOU', 'Percy', 'Lily-Rose Depp', 'Latto', 'First Anuwat', 'Pop Pongkool', 'No One Else', 'QLER', 'JISOO', 'Musketeers', 'HYBS', 'Taylor Swift', 'Saran', 'Jimin', 'BLACKPINK', 'Parkmalody', 'YEW', 'DIDIxDADA', 'Maiyarap', 'bamm', 'LANDOKMAI', 'V', 'Newery', 'The Weeknd', 'Central Cee', '4ourYou', 'Only Monday', 'Major Lazer', 'Cocktail', 'TEN', 'Da Endorphine', 'The Kid LAROI', 'NCT 127', 'DJ Snake', 'Jack Harlow', 'fellow fellow', 'Anatomy Rabbit', 'ปรีชา ปัดภัย', 'Lower Mansion', 'LISA', 'GENA DESOUZA', 'feat. ออม TELExTELEXs', 'sarah salola', 'NONT TANONT', 'PURPEECH', 'Mirrr', 'FREEHAND', 'Three Man Down', 'Agust D'}"
Turkey,"[0.68, 0.32, 0.0, 0.0]",41888,"{'Muti', 'M Lisa', 'Melike Şahin', 'Ezhel', 'Çağan Şengül', 'INJI', 'Bengü', 'Derya Bedavacı', 'Zerrin Özer', 'Mabel Matiz', 'Aleyna Tilki', 'Ozan Doğulu', 'Canozan', 'Simge', 'Alişan', 'Borqy', 'Yüzyüzeyken Konuşuruz', 'Canbay & Wolker', 'Burcu Güneş', 'Emir Can İğrek', 'Doğu Swag', 'Dolu Kadehi Ters Tut', 'Gülden Mutlu', 'Bahadır Tatlıöz', 'Buray', 'Mert Demir', 'Kibariye', 'mor ve ötesi', 'Semicenk', 'Anıl Emre Daldal', 'UZI', 'Yıldız Tilbe', 'Derya Uluğ', 'Motive', 'Russ Millions', 'Heijan', 'Azer Bülbül', 'Rast', 'Dedublüman', 'Kurtuluş Kuş', 'Ati242', 'Halodayı', 'BLOK3', 'Sefo', 'Reynmen', 'KÖFN', 'Selin', 'Sedef Sebüktekin', 'Ebru Yaşar', 'Burak Bulut'}"
Ukraine,"[0.5789473684210527, 0.2807017543859649, 0.14035087719298245, 0.0]",14304,"{'Jung Kook', 'yatashigang', 'The Neighbourhood', 'alyona alyona', 'SHUMEI', 'Volodymyr Dantes', 'Latto', 'Три дня дождя', 'СТРУКТУРА ЩАСТЯ', 'Skryptonite', 'Parfeniuk', 'SPLYXER', 'Slowboy', 'Kenya Grace', 'MONA', 'FRIENDLY THUG 52 NGG', 'Big Baby Tape', 'INTERWORLD', 'Dj Brunin XM', 'Mc Gw', 'xxanteria', 'shadowraze', 'zaichkou888', 'Klavdia Petrivna', 'Tate McRae', 'kizaru', 'Groove Dealers', 'Wellboy', 'David Kushner', 'KAVA', 'ZLATA OGNEVICH', 'OSTY', 'SUICIDAL-IDOL', ""Aliyah's Interlude"", 'KZA Produções', 'IVOXYGEN', 'Після Дощу', 'Memphis Cult', 'Bibi Babydoll', 'Morphom', 'ZWE1HVNDXR', 'YAKTAK', 'Arctic Monkeys', 'Mc Menor Do Alvorada', 'Jack Harlow', 'Moya Mishel', 'SadSvit', 'ThxSoMch', 'KRBK', 'S3BZS', 'VovaZiLvova', 'POSITIFF', 'KOLA', 'DOROFEEVA', 'Aarne', 'Doja Cat', ""SOBOL'""}"
United Arab Emirates,"[0.6, 0.4, 0.0, 0.0]",88962,"{'JENNIE', 'Olivia Rodrigo', 'Jung Kook', 'Lily-Rose Depp', 'Latto', 'Madonna', 'Dave', 'SZA', 'Tory Lanez', 'Kumaar', 'Kenya Grace', 'Gunna', 'Playboi Carti', 'Harry Styles', 'Taylor Swift', 'Travis Scott', 'Anirudh Ravichander', 'Yeat', 'Daft Punk', 'V', 'Tate McRae', 'Tyla', 'Drake', 'The Weeknd', '21 Savage', 'David Kushner', 'Central Cee', 'Selena Gomez', 'Major Lazer', 'Metro Boomin', 'The Kid LAROI', 'Mitski', 'Rema', 'Arctic Monkeys', 'DJ Snake', 'Nikhita Gandhi', 'Jasleen Royal', 'Jack Harlow', 'Shilpa Rao', 'juan karlos', 'Doja Cat', 'Billie Eilish', 'Dua Lipa', 'Dulquer Salmaan', 'Arijit Singh'}"
United Kingdom,"[0.6296296296296297, 0.3333333333333333, 0.018518518518518517, 0.018518518518518517]",56836,"{'Olivia Rodrigo', 'Noah Kahan', 'The Neighbourhood', 'Wham!', 'Takura', 'Peggy Gou', 'Madonna', 'RAYE', 'Dave', 'SZA', 'Fred again..', 'Trigga', 'Vance Joy', 'Flowdan', 'Kenya Grace', 'Gunna', 'Playboi Carti', 'Harry Styles', 'Taylor Swift', 'Mariah Carey', 'Yeat', 'The Killers', 'Lord Huron', 'Becky Hill', 'Sexyy Red', 'Frank Ocean', 'Sonny Fodera', 'Tate McRae', 'Obongjayar', 'D-Block Europe', 'IRAH', 'Tyla', 'Drake', 'Tom Odell', 'MK', 'David Kushner', 'Central Cee', 'The Weeknd', 'Fleetwood Mac', 'Troye Sivan', 'Mitski', 'Billy Gillies', 'Arctic Monkeys', 'Hannah Boleyn', 'Bou', 'Clementine Douglas', 'Hozier', 'Doja Cat', 'The Goo Goo Dolls', 'Billie Eilish', 'cassö', 'Dua Lipa', 'Chase & Status', 'The Beatles'}"
United States,"[0.6341463414634146, 0.34146341463414637, 0.0, 0.024390243902439025]",80412,"{'Olivia Rodrigo', 'Noah Kahan', 'Jung Kook', 'The Neighbourhood', 'Kali Uchis', 'Latto', 'Chino Pacas', 'Calle 24', 'SZA', 'Eslabon Armado', 'Lil Tecca', 'Marshmello', 'Bad Bunny', 'Feid', 'Gunna', 'Fuerza Regida', 'Kenya Grace', 'Travis Scott', 'Mariah Carey', 'Yeat', 'Bing Crosby', 'Sexyy Red', 'Frank Ocean', 'Tate McRae', 'Tyla', 'Gabito Ballesteros', 'Tyler, The Creator', 'Drake', 'Morgan Wallen', 'Ken Darby Singers', 'Mitski', 'J. Cole', 'Peso Pluma', 'Junior H', 'Kacey Musgraves', 'KAROL G', 'Doja Cat', 'Taylor Swift', 'Zach Bryan', 'John Scott Trotter & His Orchestra', 'The Beatles'}"
Uruguay,"[0.7931034482758621, 0.1896551724137931, 0.0, 0.017241379310344827]",28984,"{'DJ Tao', 'Alejo Isakk', 'Nysix Music', 'El negro tecla', 'La T y La M', 'Myke Towers', 'Jere Klein', ""Hernan y La Champion's Liga"", 'Locura Mix', 'Nicki Nicole', 'Phontana', 'Bad Bunny', 'Feid', 'Duki', 'LIT killah', 'Maria Becerra', 'The La Planta', 'Rusherking', 'Emilia', 'Darell', 'Grupo Frontera', 'LA NUEVA ESCUELA', 'iñigo quintero', 'Tiago PZK', 'Sayian Jimmy', 'Gittobeatz', 'El Villano', 'YSY A', 'Mesita', ""La K'onga"", 'FMK', 'Quevedo', 'Marka Akme', 'Milo j', 'Migrantes', 'TINI', 'Bizarrap', 'Peipper', 'Ke Personajes', 'Ulises Bueno', 'Callejero Fino', 'Lola Indigo', 'Tokischa', 'Peso Pluma', 'Jhayco', 'Bhavi', 'BM', 'Big One', 'Luck Ra', 'Bad Gyal', 'LUDMILLA', 'Lauty Gram', 'Young Miko', 'Taiu', 'La Joaqui', 'Zecca', 'KAROL G', 'Los Ángeles Azules'}"
Venezuela,"[0.8157894736842105, 0.18421052631578946, 0.0, 0.0]",7985,"{'Jung Kook', 'Eladio Carrion', 'Sky Rompiendo', 'Plan B', 'Latto', 'Myke Towers', 'Danny Ocean', 'Ozuna', 'Bad Bunny', 'Feid', 'Manuel Turizo', 'Carin Leon', 'Shakira', 'Jimin', 'Jerry Di', 'Mora', 'Darell', 'Rawayana', 'iñigo quintero', 'YOVNGCHIMI', 'Drake', 'Saiko', 'ELENA ROSE', 'Quevedo', 'Bryant Myers', 'Milo j', 'Bizarrap', 'Dei V', 'Tokischa', 'Peso Pluma', 'Jhayco', 'Jack Harlow', 'Bad Gyal', 'Maluma', 'Young Miko', 'Taiu', 'KAROL G', 'Luar La L'}"
Vietnam,"[0.78, 0.18, 0.02, 0.02]",14285,"{'tlinh', 'Ronboogz', 'JENNIE', 'Jung Kook', 'Madihu', 'RPT MCK', 'GREY D', 'Shiki', 'DT Tập Rap', 'Latto', 'itsnk', 'Wren Evans', 'GDucky', 'Tăng Duy Tân', 'Low G', 'Jimin', 'B Ray', 'Vũ Phụng Tiên', 'Mikelodic', 'HIEUTHUHAI', 'RPT Orijinn', 'Obito', 'V', 'W/N', 'Linh Thộn', 'Quang Anh Rhyder', 'Drum7', 'Phương Ly', 'Kuun Đức Nam', 'Chillies', 'Major Lazer', 'Vũ.', '267', 'Trung Trần', 'Thắng', 'Minh Huy', 'VSTRA', 'Muộii (Starry Night)', 'DJ Snake', 'Jack Harlow', 'Binz', 'Nomovodka', 'CoolKid', 'JustaTee', 'Karik', '2pillz', 'Da LAB', 'WEAN', 'Emcee L (Da LAB)', 'O.lew'}"
